sequence,event_type,symbol,recorded_decision,replayed_decision,matched,detail
393,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
394,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
395,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
396,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
397,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
398,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
399,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
400,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
401,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
402,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
403,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
404,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
405,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
406,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
407,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
408,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
409,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
410,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
411,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
412,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
413,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
414,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
415,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
416,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
417,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
418,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
419,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
420,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
421,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
422,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
